Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Dijkstra,Y,N,49,10,10,0.8,21,12,0.006350400013616309
A*,Y,N,50,10,10,0.8,11,10,0.015446999983396381
Pruning,Y,Y,50,10,10,0.8,100,10,0.0027791000029537827
Dijkstra,Y,Y,50,10,10,0.8,11,10,0.00195130001520738
A*,Y,Y,50,10,10,0.8,11,10,0.008764900005189702
A*,Y,N,49,10,10,0.8,22,12,0.02012910001212731
Pruning,Y,Y,49,10,10,0.8,131,12,0.008263199997600168
Dijkstra,Y,Y,49,10,10,0.8,20,12,0.00676940000266768
A*,Y,Y,49,10,10,0.8,22,12,0.020033799984958023
A*,Y,Y,31,10,10,0.4,3515,15,2.70472580002388
Pruning,N,N,4,10,20,0.4,15314,10,0.9702714000013657
Pruning,N,N,2,10,20,0.4,20236,10,1.3176197999855503
A*,Y,Y,3,10,10,0.4,8268,13,8.006676499993773
Dijkstra,N,N,4,10,20,0.4,958,10,0.9841102000209503
Dijkstra,N,N,2,10,20,0.4,1138,10,1.1131815999979153
Pruning,N,N,3,10,20,0.4,41403,11,2.9015133999928366
Pruning,N,N,1,10,20,0.4,45931,11,3.2664698000007775
Pruning,N,N,7,10,20,0.4,44760,12,3.183673400024418
Dijkstra,N,N,3,10,20,0.4,1928,11,1.9686694999982137
A*,N,N,4,10,20,0.4,871,10,3.2376956999942195
Dijkstra,N,N,1,10,20,0.4,2674,11,2.9346870000008494
Pruning,Y,N,4,10,20,0.4,11110,10,0.7621682000171859
A*,N,N,2,10,20,0.4,1054,10,3.949262500012992
Dijkstra,N,N,7,10,20,0.4,1918,12,1.8695644999970682
Dijkstra,Y,N,4,10,20,0.4,915,10,0.8159226000134367
Pruning,Y,N,2,10,20,0.4,32219,10,2.0026565000007395
Pruning,N,N,6,10,20,0.4,110320,10,8.695276899990859
Dijkstra,Y,N,2,10,20,0.4,1039,10,0.8852950000145938
A*,Y,N,4,10,20,0.4,889,10,3.78806180000538
Pruning,Y,Y,4,10,20,0.4,18343,10,1.0954848999972455
Dijkstra,Y,Y,4,10,20,0.4,649,10,0.5916087999939919
Dijkstra,N,N,6,10,20,0.4,3528,10,3.819204899977194
A*,N,N,3,10,20,0.4,2408,11,8.730915299995104
A*,N,N,7,10,20,0.4,2033,12,7.388527799979784
A*,Y,N,2,10,20,0.4,1064,10,4.643638800014742
Pruning,Y,N,7,10,20,0.4,27178,12,1.532345899991924
A*,Y,Y,4,10,20,0.4,766,10,3.284375599992927
Pruning,Y,N,3,10,20,0.4,34327,11,2.2361991000070702
A*,N,N,1,10,20,0.4,2749,11,9.88655020002625
Dijkstra,Y,N,7,10,20,0.4,1645,12,1.4785986999922898
Pruning,Y,Y,2,10,20,0.4,45059,10,3.177928199991584
Dijkstra,Y,N,3,10,20,0.4,1846,11,1.7169095999852289
Dijkstra,Y,Y,2,10,20,0.4,1264,10,1.245899700006703
Pruning,N,N,5,10,20,0.4,229618,11,18.34186860002228
Pruning,Y,N,1,10,20,0.4,83317,11,6.0992944999889005
A*,Y,Y,2,10,20,0.4,834,10,3.7208850999886636
Pruning,N,N,8,10,20,0.4,264873,11,21.699588100018445
A*,Y,N,7,10,20,0.4,1817,12,7.0973524999863
A*,N,N,6,10,20,0.4,3249,10,11.710362699988764
Dijkstra,Y,N,1,10,20,0.4,2793,11,2.68892980000237
Pruning,N,N,10,10,20,0.4,37848,11,2.6122669000178576
Pruning,Y,Y,7,10,20,0.4,29138,12,1.73877209998318
Dijkstra,Y,Y,7,10,20,0.4,1620,12,1.3250244999944698
Dijkstra,N,N,10,10,20,0.4,2292,11,2.211395399994217
A*,Y,N,3,10,20,0.4,2416,11,10.627796600019792
Pruning,N,N,9,10,20,0.4,159747,11,12.151496700011194
Pruning,Y,N,6,10,20,0.4,57353,10,3.9451813000196125
Pruning,Y,Y,3,10,20,0.4,33556,11,2.150465799990343
Dijkstra,Y,N,6,10,20,0.4,3391,10,3.3154968000017107
Dijkstra,Y,Y,3,10,20,0.4,1898,11,1.7010574000014458
A*,Y,Y,7,10,20,0.4,1743,12,6.703129500005161
A*,N,N,10,10,20,0.4,2223,11,7.734965000010561
Dijkstra,N,N,8,10,20,0.4,10022,11,11.630071799998404
Dijkstra,N,N,5,10,20,0.4,14480,11,17.0707305999822
A*,Y,N,1,10,20,0.4,2739,11,12.096991700003855
Dijkstra,N,N,9,10,20,0.4,7795,11,8.647012900008122
Pruning,Y,N,10,10,20,0.4,39194,11,2.54763479999383
Dijkstra,Y,N,10,10,20,0.4,2230,11,2.2379045999841765
Pruning,Y,Y,1,10,20,0.4,69605,11,5.291816300014034
Pruning,N,N,11,10,20,0.4,105014,10,8.432035500009079
A*,Y,Y,3,10,20,0.4,2418,11,10.686618200008525
Dijkstra,Y,Y,1,10,20,0.4,2710,11,2.735500900016632
A*,Y,N,6,10,20,0.4,3208,10,13.86559460000717
Dijkstra,N,N,11,10,20,0.4,4595,10,5.073257099982584
Pruning,N,N,12,10,20,0.4,72779,11,5.124571399996057
A*,Y,N,10,10,20,0.4,2222,11,9.969650999992155
Pruning,Y,Y,6,10,20,0.4,70726,10,5.208335699979216
Dijkstra,N,N,12,10,20,0.4,3661,11,4.008379600010812
Pruning,Y,Y,10,10,20,0.4,41198,11,2.7965986999915913
Dijkstra,Y,Y,6,10,20,0.4,3418,10,3.3600104000070132
Dijkstra,Y,Y,10,10,20,0.4,2207,11,2.3222345000249334
A*,Y,Y,1,10,20,0.4,2734,11,12.136067500017816
A*,N,N,12,10,20,0.4,2855,11,10.224928400013596
A*,N,N,9,10,20,0.4,7561,11,26.985355499986326
A*,Y,Y,10,10,20,0.4,2220,11,9.891811300010886
Pruning,Y,N,12,10,20,0.4,68420,11,4.493206499988446
A*,Y,Y,6,10,20,0.4,3251,10,14.325681600021198
Pruning,Y,N,9,10,20,0.4,92663,11,6.726729499991052
A*,N,N,11,10,20,0.4,6302,10,22.99534880000283
Dijkstra,Y,N,12,10,20,0.4,3993,11,3.9685291000059806
A*,N,N,8,10,20,0.4,10511,11,37.61821020001662
Pruning,N,N,14,10,20,0.4,108219,11,7.673092600016389
Dijkstra,Y,N,9,10,20,0.4,4397,11,4.286764299991773
Pruning,Y,N,11,10,20,0.4,78765,10,5.387545300007332
Pruning,N,N,13,10,20,0.4,230951,11,19.56149940000614
Pruning,N,N,15,10,20,0.4,110150,11,8.018469699978596
Pruning,Y,N,8,10,20,0.4,94749,11,6.359954199986532
Dijkstra,N,N,14,10,20,0.4,6574,11,7.07317580000381
Dijkstra,Y,N,11,10,20,0.4,4348,10,4.310982199996943
Dijkstra,Y,N,8,10,20,0.4,5082,11,4.83099340001354
Dijkstra,N,N,15,10,20,0.4,6563,11,7.51916200001142
A*,Y,N,12,10,20,0.4,3219,11,14.34156509998138
A*,N,N,5,10,20,0.4,14407,11,50.85687059999327
Pruning,Y,Y,12,10,20,0.4,71393,11,4.973997799999779
Dijkstra,Y,Y,12,10,20,0.4,2833,11,2.857999199972255
A*,Y,N,9,10,20,0.4,4704,11,18.265681500022765
Dijkstra,N,N,13,10,20,0.4,14266,11,17.481600200000685
Pruning,Y,Y,9,10,20,0.4,80608,11,5.59597909997683
Pruning,Y,N,5,10,20,0.4,205474,11,15.962064500025008
Dijkstra,Y,Y,9,10,20,0.4,4303,11,4.053488499979721
A*,N,N,14,10,20,0.4,6606,11,23.557971400005044
A*,Y,Y,12,10,20,0.4,2877,11,12.555161700001918
Pruning,Y,N,14,10,20,0.4,59316,11,4.03990979999071
A*,Y,N,11,10,20,0.4,6302,10,28.167834000021685
A*,Y,N,8,10,20,0.4,6621,11,25.73947520001093
Pruning,N,N,16,10,20,0.4,71592,11,4.962650100002065
Dijkstra,Y,N,14,10,20,0.4,3734,11,3.4990494000085164
Dijkstra,Y,N,5,10,20,0.4,10781,11,11.451082899991889
Pruning,Y,Y,11,10,20,0.4,79252,10,5.582583000010345
Dijkstra,N,N,16,10,20,0.4,3571,11,3.502314099983778
Dijkstra,Y,Y,11,10,20,0.4,4419,10,4.480026600009296
Pruning,Y,Y,8,10,20,0.4,134783,11,10.071678799984511
A*,Y,Y,9,10,20,0.4,4478,11,17.335100099997362
Pruning,N,N,17,10,20,0.4,22925,11,1.3507320000207983
Dijkstra,N,N,17,10,20,0.4,1272,11,1.2349854999920353
Dijkstra,Y,Y,8,10,20,0.4,5590,11,5.601278399990406
A*,N,N,15,10,20,0.4,11375,11,41.37462049999158
A*,Y,N,14,10,20,0.4,3928,11,15.429905900004087
A*,N,N,17,10,20,0.4,2132,11,7.498069499997655
Pruning,Y,Y,14,10,20,0.4,61768,11,4.381801899988204
Pruning,Y,N,17,10,20,0.4,23139,11,1.3878089000063483
Pruning,Y,N,15,10,20,0.4,98883,11,7.005032399989432
Dijkstra,Y,N,17,10,20,0.4,1310,11,1.2161030999850482
A*,N,N,16,10,20,0.4,5186,11,18.903470000019297
Dijkstra,Y,Y,14,10,20,0.4,3736,11,3.491242300020531
Pruning,Y,N,16,10,20,0.4,54109,11,3.927552100009052
Dijkstra,Y,N,15,10,20,0.4,5957,11,6.580606400006218
Dijkstra,Y,N,16,10,20,0.4,3582,11,4.043355599977076
A*,Y,N,17,10,20,0.4,2098,11,10.395543999999063
Pruning,Y,Y,17,10,20,0.4,24642,11,1.507187499984866
Dijkstra,Y,Y,17,10,20,0.4,1290,11,1.0942609000194352
A*,N,N,13,10,20,0.4,14298,11,52.50927219999721
A*,Y,Y,11,10,20,0.4,6298,10,29.012477400014177
A*,Y,Y,8,10,20,0.4,5731,11,24.162673799990444
Pruning,N,N,18,10,20,0.4,28098,11,1.779875299980631
Dijkstra,N,N,18,10,20,0.4,1646,11,1.79453569999896
A*,Y,Y,14,10,20,0.4,3960,11,17.361017899995204
A*,Y,Y,17,10,20,0.4,1782,11,8.036186000012094
A*,Y,N,5,10,20,0.4,10659,11,42.48711409998941
A*,N,N,18,10,20,0.4,1527,11,5.594052600004943
Pruning,Y,N,18,10,20,0.4,32511,11,2.136934400012251
A*,Y,N,16,10,20,0.4,4180,11,19.33849990001181
Dijkstra,Y,N,18,10,20,0.4,2246,11,2.146532999991905
Pruning,N,N,20,10,20,0.4,156275,10,12.245473199989647
Pruning,Y,Y,16,10,20,0.4,76566,11,4.989366299996618
Pruning,Y,N,13,10,20,0.4,237134,11,19.517966500017792
A*,Y,N,18,10,20,0.4,1526,11,6.8160140000109095
Pruning,Y,Y,5,10,20,0.4,168028,11,12.849529800005257
Dijkstra,Y,Y,16,10,20,0.4,4433,11,4.224950000003446
Pruning,N,N,19,10,20,0.4,264876,11,20.809627599985106
Pruning,Y,Y,18,10,20,0.4,39872,11,2.6448160000145435
Dijkstra,Y,Y,18,10,20,0.4,2045,11,1.953567299991846
Pruning,N,N,21,10,20,0.4,236371,10,18.571999100007815
Dijkstra,N,N,20,10,20,0.4,8485,10,9.628970199992182
A*,Y,N,15,10,20,0.4,9821,11,39.02061710000271
A*,Y,Y,18,10,20,0.4,1520,11,6.531098200008273
Dijkstra,Y,Y,5,10,20,0.4,10834,11,11.626374699990265
Dijkstra,Y,N,13,10,20,0.4,14304,11,16.73951600000146
Dijkstra,N,N,21,10,20,0.4,9354,10,10.556541099998867
Pruning,Y,Y,15,10,20,0.4,92524,11,6.4644879999978
Pruning,N,N,22,10,20,0.4,90152,10,6.042373600008432
Dijkstra,N,N,19,10,20,0.4,14226,11,16.948789600020973
A*,Y,Y,16,10,20,0.4,4245,11,18.52308240000275
Dijkstra,N,N,22,10,20,0.4,4115,10,4.31770330001018
Dijkstra,Y,Y,15,10,20,0.4,5992,11,5.894358400022611
A*,N,N,20,10,20,0.4,5971,10,20.756302600027993
Pruning,Y,N,20,10,20,0.4,67062,10,4.9731230000033975
Dijkstra,Y,N,20,10,20,0.4,4435,10,4.383622599998489
Pruning,N,N,23,10,20,0.4,211931,11,17.477333599992562
A*,N,N,21,10,20,0.4,7549,10,27.035345599986613
A*,N,N,22,10,20,0.4,7288,10,26.14551719999872
Dijkstra,N,N,23,10,20,0.4,12396,11,14.697523700015154
A*,Y,N,20,10,20,0.4,4458,10,17.72110279998742
A*,Y,Y,5,10,20,0.4,10635,11,41.82779420001316
Pruning,Y,N,21,10,20,0.4,184243,10,13.954392700019525
Pruning,Y,N,22,10,20,0.4,144044,10,10.316974299988942
Pruning,Y,Y,20,10,20,0.4,91249,10,6.56097759999102
A*,Y,Y,15,10,20,0.4,9823,11,39.03164669999387
Dijkstra,Y,N,22,10,20,0.4,4088,10,4.319783799990546
Dijkstra,Y,Y,20,10,20,0.4,3127,10,3.163336400000844
Pruning,N,N,25,10,20,0.4,29964,11,2.199014600017108
Dijkstra,N,N,25,10,20,0.4,1615,11,1.6170368999883067
Dijkstra,Y,N,21,10,20,0.4,8401,10,9.355388299998594
A*,N,N,25,10,20,0.4,1871,11,6.682245099975262
A*,N,N,19,10,20,0.4,14731,11,53.61524829998962
Pruning,Y,N,25,10,20,0.4,27752,11,1.6174362000019755
Dijkstra,Y,N,25,10,20,0.4,1530,11,1.4904260000039358
A*,Y,N,13,10,20,0.4,14282,11,63.24542700001621
A*,Y,Y,20,10,20,0.4,4471,10,17.783668899995973
A*,Y,N,25,10,20,0.4,1995,11,8.649990000005346
Pruning,Y,Y,25,10,20,0.4,38665,11,2.504294900019886
Dijkstra,Y,Y,25,10,20,0.4,1722,11,1.6081151000107639
A*,N,N,23,10,20,0.4,10565,11,38.539440900000045
A*,Y,N,22,10,20,0.4,7306,10,32.52500470000086
Pruning,Y,N,19,10,20,0.4,295723,11,23.3378706999938
Pruning,Y,Y,13,10,20,0.4,225630,11,18.612921599997208
A*,Y,Y,25,10,20,0.4,2088,11,9.076304200018058
Pruning,Y,N,23,10,20,0.4,97086,11,6.634379499999341
A*,Y,N,21,10,20,0.4,7481,10,32.72614939999767
Pruning,Y,Y,22,10,20,0.4,72856,10,4.848206399998162
Pruning,N,N,26,10,20,0.4,254510,11,20.27535050001461
Dijkstra,Y,Y,22,10,20,0.4,4333,10,4.171436999982689
Dijkstra,Y,N,23,10,20,0.4,7835,11,7.681648700003279
Dijkstra,Y,N,19,10,20,0.4,14259,11,15.498196300002746
Pruning,Y,Y,21,10,20,0.4,184561,10,13.812112099985825
Dijkstra,Y,Y,13,10,20,0.4,14355,11,16.630128500022693
Dijkstra,N,N,26,10,20,0.4,10120,11,11.774972999992315
Dijkstra,Y,Y,21,10,20,0.4,7927,10,8.439006600005087
A*,Y,N,23,10,20,0.4,6084,11,24.446594500011997
A*,Y,Y,22,10,20,0.4,6806,10,29.78783129999647
Pruning,N,N,27,10,20,0.4,455495,10,37.729519699991215
Pruning,Y,Y,23,10,20,0.4,120116,11,9.701476600021124
Dijkstra,Y,Y,23,10,20,0.4,8413,11,8.435721699992428
A*,N,N,26,10,20,0.4,10905,11,39.753072699997574
A*,Y,Y,21,10,20,0.4,7351,10,33.339404600003036
Pruning,Y,N,26,10,20,0.4,140076,11,10.46840169999632
Dijkstra,N,N,27,10,20,0.4,24497,10,29.988722700014478
A*,Y,Y,23,10,20,0.4,6120,11,23.426524200011045
Dijkstra,Y,N,26,10,20,0.4,9351,11,10.368997399986256
A*,Y,Y,13,10,20,0.4,14275,11,62.93844860000536
A*,Y,N,19,10,20,0.4,14681,11,64.2221180999768
Pruning,N,N,29,10,20,0.4,280832,10,22.613226600020425
Pruning,N,N,31,10,20,0.4,16447,10,0.9974988000176381
Dijkstra,N,N,31,10,20,0.4,574,10,0.5035523000115063
A*,N,N,31,10,20,0.4,1028,10,3.746818300016457
Pruning,Y,N,31,10,20,0.4,14344,10,0.8159863000037149
Dijkstra,Y,N,31,10,20,0.4,466,10,0.3677820999873802
A*,Y,N,31,10,20,0.4,799,10,3.207443499995861
Pruning,Y,Y,31,10,20,0.4,8531,10,0.4725453999999445
Dijkstra,Y,Y,31,10,20,0.4,459,10,0.32508559999405406
A*,Y,Y,31,10,20,0.4,800,10,3.062987300014356
Pruning,Y,Y,19,10,20,0.4,244133,11,18.8702278000128
Pruning,N,N,30,10,20,0.4,319770,12,25.523839700006647
Pruning,N,N,32,10,20,0.4,100304,10,7.229412899992894
Dijkstra,N,N,29,10,20,0.4,18824,10,22.32663070000126
Dijkstra,N,N,32,10,20,0.4,5665,10,6.222703999985242
Dijkstra,Y,Y,19,10,20,0.4,13992,11,15.465884000004735
A*,Y,N,26,10,20,0.4,9889,11,43.506824000010965
Dijkstra,N,N,30,10,20,0.4,20268,12,24.663994999980787
A*,N,N,32,10,20,0.4,6169,10,21.491818399983458
Pruning,Y,N,32,10,20,0.4,146593,10,11.194245200022124
Pruning,Y,Y,26,10,20,0.4,254521,11,20.924888599984115
Dijkstra,Y,N,32,10,20,0.4,5537,10,5.678489400015678
A*,N,N,29,10,20,0.4,13458,10,48.17086320000817
Dijkstra,Y,Y,26,10,20,0.4,10475,11,12.089116799994372
A*,Y,N,32,10,20,0.4,6152,10,26.796127699984936
A*,Y,Y,19,10,20,0.4,14260,11,62.05125839999528
Pruning,Y,Y,32,10,20,0.4,93479,10,6.619577899982687
Pruning,N,N,33,10,20,0.4,44738,10,2.853405100002419
Pruning,Y,N,29,10,20,0.4,364404,10,29.386795400001574
Dijkstra,N,N,33,10,20,0.4,2430,10,2.3262868000019807
Dijkstra,Y,Y,32,10,20,0.4,5533,10,5.702286699990509
A*,N,N,27,10,20,0.4,33377,10,116.79559900000459
A*,N,N,33,10,20,0.4,4111,10,14.374418999999762
Dijkstra,Y,N,29,10,20,0.4,14624,10,16.80397969999467
Pruning,Y,N,33,10,20,0.4,44066,10,2.8522721999906935
Dijkstra,Y,N,33,10,20,0.4,2397,10,1.9951707999862265
A*,Y,Y,26,10,20,0.4,10843,11,47.24713890001294
A*,N,N,30,10,20,0.4,21577,12,77.28751140000531
Pruning,N,N,34,10,20,0.4,33249,10,2.218829499994172
Dijkstra,N,N,34,10,20,0.4,1547,10,1.505213399999775
A*,N,N,34,10,20,0.4,1391,10,5.036148800019873
A*,Y,Y,32,10,20,0.4,6180,10,26.854414900008123
Pruning,Y,N,34,10,20,0.4,37797,10,2.603400599997258
A*,Y,N,33,10,20,0.4,3553,10,13.923411700001452
Dijkstra,Y,N,34,10,20,0.4,1782,10,1.650118299992755
Pruning,Y,Y,33,10,20,0.4,35349,10,2.117436800006544
Dijkstra,Y,Y,33,10,20,0.4,2193,10,1.873324499989394
A*,Y,N,34,10,20,0.4,1273,10,4.917764799989527
Pruning,Y,Y,34,10,20,0.4,44713,10,2.817774399998598
Dijkstra,Y,Y,34,10,20,0.4,1482,10,1.3034850000112783
Pruning,Y,N,27,10,20,0.4,467107,10,38.285179500002414
Pruning,N,N,28,10,20,0.4,1869554,10,189.62848189999931
Pruning,Y,N,30,10,20,0.4,319617,12,24.264214099996025
A*,Y,Y,34,10,20,0.4,1270,10,4.950258600001689
Pruning,N,N,36,10,20,0.4,28523,11,1.7709177999931853
A*,Y,Y,33,10,20,0.4,3539,10,13.793815400014864
Dijkstra,N,N,36,10,20,0.4,1923,11,1.8335138999973424
A*,N,N,36,10,20,0.4,2309,11,8.423430000024382
Pruning,Y,N,36,10,20,0.4,29415,11,1.7208624000195414
Pruning,N,N,37,10,20,0.4,150833,11,10.991033500002231
Dijkstra,Y,N,36,10,20,0.4,1612,11,1.3270146000140812
Dijkstra,Y,N,30,10,20,0.4,20137,12,23.141182599996682
A*,Y,N,36,10,20,0.4,1792,11,8.24848499998916
Dijkstra,Y,N,27,10,20,0.4,25445,10,29.569290299987188
Dijkstra,N,N,37,10,20,0.4,9139,11,9.899827300017932
Pruning,Y,Y,36,10,20,0.4,29993,11,2.014048700017156
A*,Y,N,29,10,20,0.4,13437,10,58.63136910001049
Dijkstra,Y,Y,36,10,20,0.4,1561,11,1.4105489999928977
A*,Y,Y,36,10,20,0.4,2147,11,9.394528500008164
Pruning,N,N,38,10,20,0.4,130262,11,10.060365300014382
Pruning,N,N,24,10,20,0.4,3271456,12,323.5477316000033
Pruning,Y,Y,29,10,20,0.4,330024,10,27.16912430000957
Dijkstra,N,N,38,10,20,0.4,7359,11,8.763814200006891
A*,N,N,37,10,20,0.4,9575,11,33.75128319999203
Pruning,Y,N,37,10,20,0.4,168027,11,12.161534500017297
Dijkstra,Y,Y,29,10,20,0.4,15980,10,17.929811699985294
Dijkstra,Y,N,37,10,20,0.4,9255,11,9.961509899992961
A*,N,N,38,10,20,0.4,7370,11,26.098154000006616
Pruning,Y,N,38,10,20,0.4,56082,11,3.8331212000048254
Dijkstra,Y,N,38,10,20,0.4,2591,11,2.406232799985446
A*,Y,N,38,10,20,0.4,2659,11,10.567037400003755
Pruning,Y,Y,38,10,20,0.4,49838,11,3.4339949999994133
Dijkstra,Y,Y,38,10,20,0.4,2539,11,2.3904559000220615
A*,Y,Y,38,10,20,0.4,2527,11,9.982944700022927
A*,Y,N,30,10,20,0.4,21576,12,93.82180669999798
Pruning,N,N,39,10,20,0.4,28265,10,1.861783899978036
Dijkstra,N,N,39,10,20,0.4,1877,10,1.8676374000206124
A*,Y,N,37,10,20,0.4,9538,11,41.09239780000644
A*,N,N,39,10,20,0.4,2516,10,8.960470999998506
Pruning,Y,N,39,10,20,0.4,39194,10,2.387287899997318
A*,Y,Y,29,10,20,0.4,13396,10,58.635571799997706
Dijkstra,Y,N,39,10,20,0.4,1373,10,1.362026299990248
Pruning,N,N,40,10,20,0.4,18643,11,1.1388343000144232
Pruning,Y,Y,37,10,20,0.4,153816,11,11.003589100000681
Dijkstra,N,N,40,10,20,0.4,932,11,0.7925842000113335
A*,N,N,40,10,20,0.4,1562,11,5.430866800015792
A*,Y,N,39,10,20,0.4,2069,10,7.721737600018969
Pruning,Y,N,40,10,20,0.4,15887,11,0.8590164000052027
Dijkstra,Y,N,40,10,20,0.4,1012,11,0.8703381000086665
Pruning,Y,Y,39,10,20,0.4,22949,10,1.3375379999924917
Dijkstra,Y,Y,39,10,20,0.4,1431,10,1.2910217999888118
Dijkstra,Y,Y,37,10,20,0.4,9288,11,9.798074899998028
A*,Y,N,40,10,20,0.4,1579,11,6.911536300001899
Pruning,Y,Y,40,10,20,0.4,17401,11,0.9617841000144836
Pruning,Y,Y,30,10,20,0.4,423239,12,33.21959079999942
Dijkstra,Y,Y,40,10,20,0.4,957,11,0.7566578999976628
Pruning,N,N,35,10,20,0.4,1782224,10,166.3029899999965
A*,Y,Y,39,10,20,0.4,1958,10,7.724346399976639
A*,Y,Y,40,10,20,0.4,1525,11,6.727097800001502
Pruning,N,N,41,10,20,0.4,117251,10,8.749016299989307
Pruning,N,N,42,10,20,0.4,54360,10,3.7089959000004455
Dijkstra,N,N,28,10,20,0.4,120320,10,163.2279283000098
Dijkstra,N,N,42,10,20,0.4,2394,10,2.4738456000050064
Dijkstra,N,N,41,10,20,0.4,6550,10,7.377016400016146
A*,Y,N,27,10,20,0.4,33312,10,143.6578434999974
A*,N,N,42,10,20,0.4,2139,10,7.871363200014457
Dijkstra,Y,Y,30,10,20,0.4,20124,12,23.041337500006193
Pruning,Y,N,42,10,20,0.4,41157,10,2.622466800006805
Dijkstra,Y,N,42,10,20,0.4,1764,10,1.6927125999936834
A*,Y,N,42,10,20,0.4,2147,10,9.445356000011088
A*,Y,Y,37,10,20,0.4,9517,11,41.78199860002496
Pruning,Y,Y,42,10,20,0.4,42304,10,2.6894355999829713
Pruning,N,N,43,10,20,0.4,46879,10,3.2956994000123814
Dijkstra,Y,Y,42,10,20,0.4,2182,10,2.0225954000197817
Dijkstra,N,N,43,10,20,0.4,1783,10,1.7102826999907847
A*,N,N,41,10,20,0.4,7860,10,27.96491059998516
A*,Y,Y,42,10,20,0.4,2119,10,9.505806100001791
A*,N,N,43,10,20,0.4,3132,10,11.120341900008498
Pruning,N,N,44,10,20,0.4,47770,10,3.271625099994708
Pruning,Y,N,41,10,20,0.4,109538,10,7.836046999989776
Dijkstra,N,N,44,10,20,0.4,2960,10,3.090688299998874
Pruning,Y,N,43,10,20,0.4,84373,10,6.056625400000485
Pruning,Y,Y,27,10,20,0.4,483116,10,39.237019299995154
Dijkstra,Y,N,41,10,20,0.4,6374,10,6.402552799991099
Dijkstra,Y,N,43,10,20,0.4,1974,10,1.9020604999968782
A*,N,N,44,10,20,0.4,3144,10,11.157536700018682
Pruning,Y,N,44,10,20,0.4,50833,10,3.5107323999982327
Dijkstra,Y,N,44,10,20,0.4,2808,10,2.7157214999897406
A*,Y,N,43,10,20,0.4,3085,10,13.6845737999829
Pruning,Y,Y,43,10,20,0.4,68117,10,4.709921399975428
Dijkstra,Y,Y,43,10,20,0.4,1949,10,1.924876500008395
Dijkstra,Y,Y,27,10,20,0.4,24465,10,28.16183070000261
A*,Y,N,44,10,20,0.4,3134,10,13.362363700027345
Pruning,Y,Y,44,10,20,0.4,48345,10,3.6990840999933425
Dijkstra,N,N,35,10,20,0.4,69816,10,91.1812533000193
Dijkstra,Y,Y,44,10,20,0.4,3019,10,3.325896800000919
A*,Y,Y,43,10,20,0.4,3077,10,13.60328350000782
A*,Y,N,41,10,20,0.4,7961,10,35.12433280001278
Pruning,N,N,45,10,20,0.4,95748,10,7.26812580000842
Pruning,Y,Y,41,10,20,0.4,127123,10,9.399114100000588
Dijkstra,N,N,45,10,20,0.4,4396,10,4.981958799995482
A*,Y,Y,44,10,20,0.4,3152,10,13.620765800005756
Dijkstra,Y,Y,41,10,20,0.4,6123,10,6.366940599982627
A*,Y,Y,30,10,20,0.4,21586,12,94.87134819998755
A*,N,N,45,10,20,0.4,3528,10,13.03302000000258
Pruning,N,N,47,10,20,0.4,57759,11,3.7963832000095863
Pruning,N,N,46,10,20,0.4,187827,11,15.207071199984057
Pruning,Y,N,45,10,20,0.4,53129,10,3.5568828000104986
Dijkstra,N,N,47,10,20,0.4,3439,11,3.5805467999889515
Dijkstra,Y,N,45,10,20,0.4,3105,10,2.9679101999790873
Dijkstra,N,N,46,10,20,0.4,11051,11,13.310740899993107
A*,Y,N,45,10,20,0.4,2702,10,10.386172600003192
A*,N,N,47,10,20,0.4,3684,11,13.070040100021288
Pruning,Y,Y,45,10,20,0.4,68066,10,5.116363799985265
Pruning,Y,N,47,10,20,0.4,60079,11,3.899877000018023
Dijkstra,Y,Y,45,10,20,0.4,2548,10,2.3049249000032432
A*,Y,Y,41,10,20,0.4,7857,10,34.6055905999965
Dijkstra,Y,N,47,10,20,0.4,3541,11,3.667736600007629
Pruning,N,N,48,10,20,0.4,48918,11,3.2357801999896765
Dijkstra,N,N,48,10,20,0.4,2744,11,2.76888190000318
A*,Y,Y,45,10,20,0.4,2692,10,10.591844100010348
Pruning,N,N,49,10,20,0.4,75899,11,5.509181000001263
A*,Y,N,47,10,20,0.4,3683,11,16.38231449999148
A*,N,N,48,10,20,0.4,3326,11,12.199417099996936
Dijkstra,N,N,49,10,20,0.4,3540,11,3.6085211999888998
Pruning,Y,N,48,10,20,0.4,42843,11,2.7470993000024464
Dijkstra,Y,N,48,10,20,0.4,2317,11,2.0046054999984335
Pruning,Y,Y,47,10,20,0.4,132508,11,10.083411500003422
Dijkstra,Y,Y,47,10,20,0.4,3695,11,3.6238335999951232
A*,N,N,46,10,20,0.4,11304,11,40.70191730000079
A*,N,N,49,10,20,0.4,3635,11,13.326456999988295
A*,Y,N,48,10,20,0.4,2954,11,11.854807499999879
Pruning,Y,N,49,10,20,0.4,80502,11,5.547926500003086
Pruning,Y,N,46,10,20,0.4,91193,11,6.967268399981549
Pruning,Y,Y,48,10,20,0.4,60245,11,4.3558186999871396
Dijkstra,Y,Y,48,10,20,0.4,2479,11,2.1272950999846216
Dijkstra,Y,N,49,10,20,0.4,3975,11,4.136780899978476
Dijkstra,Y,N,46,10,20,0.4,3685,11,3.5978349999932107
