Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Pruning,Y,N,10,10,10,0.4,2203,11,0.14745889999994688
Dijkstra,Y,N,10,10,10,0.4,275,11,0.09939880000001722
A*,Y,N,7,10,10,0.4,583,12,0.31957039999997505
Dijkstra,Y,N,2,10,10,0.4,781,12,0.2626126000000113
A*,Y,N,10,10,10,0.4,275,11,0.11173180000014327
Dijkstra,Y,N,3,10,10,0.4,974,12,0.3835625000001528
A*,N,N,9,10,10,0.4,705,11,0.32309269999996104
Pruning,Y,Y,7,10,10,0.4,4293,12,0.24589600000035716
Pruning,Y,Y,10,10,10,0.4,2615,11,0.17801699999972698
A*,Y,N,2,10,10,0.4,781,12,0.3147791999999754
Pruning,N,N,12,10,10,0.4,6423,13,0.47353779999957624
Dijkstra,Y,Y,10,10,10,0.4,239,11,0.08883330000026035
Dijkstra,Y,Y,7,10,10,0.4,594,12,0.18335149999984424
A*,Y,Y,10,10,10,0.4,239,11,0.11269140000013067
A*,Y,N,3,10,10,0.4,974,12,0.49467189999995753
Pruning,Y,N,9,10,10,0.4,7765,11,0.4721905000001243
Dijkstra,N,N,12,10,10,0.4,837,13,0.3515719000001809
A*,Y,Y,7,10,10,0.4,594,12,0.2900027999999111
Pruning,Y,Y,2,10,10,0.4,5775,12,0.40777010000010705
Dijkstra,Y,N,9,10,10,0.4,551,11,0.2151693000000705
A*,N,N,12,10,10,0.4,837,13,0.35706600000003164
Pruning,Y,Y,3,10,10,0.4,6335,12,0.4259724999997161
Dijkstra,Y,Y,2,10,10,0.4,788,12,0.34206140000014784
A*,Y,N,9,10,10,0.4,551,11,0.2795820999999705
Pruning,N,N,11,10,10,0.4,23157,13,1.91516909999973
Pruning,N,N,15,10,10,0.4,2721,12,0.18113559999983408
A*,Y,Y,2,10,10,0.4,788,12,0.3194308000001911
Pruning,Y,N,12,10,10,0.4,5614,13,0.3700146000001041
Dijkstra,Y,Y,3,10,10,0.4,929,12,0.3826435000000856
Dijkstra,N,N,15,10,10,0.4,372,12,0.1661933999998837
Pruning,N,N,14,10,10,0.4,9753,11,0.708470799999759
A*,N,N,15,10,10,0.4,372,12,0.1751193999998577
Dijkstra,Y,N,12,10,10,0.4,843,13,0.34415949999993245
Pruning,Y,Y,9,10,10,0.4,9217,11,0.662996000000021
A*,Y,Y,3,10,10,0.4,929,12,0.47642720000021654
Pruning,Y,N,15,10,10,0.4,3322,12,0.22183959999983927
Dijkstra,Y,Y,9,10,10,0.4,750,11,0.3145641999999498
Dijkstra,Y,N,15,10,10,0.4,389,12,0.15649819999998726
Dijkstra,N,N,14,10,10,0.4,1190,11,0.4994237000000794
A*,Y,N,12,10,10,0.4,843,13,0.4101044999997612
A*,Y,N,15,10,10,0.4,389,12,0.19688599999972212
A*,Y,Y,9,10,10,0.4,750,11,0.3600077999999485
Pruning,Y,Y,12,10,10,0.4,5749,13,0.37818190000007235
Pruning,Y,Y,15,10,10,0.4,4836,12,0.33398989999977857
Pruning,N,N,17,10,10,0.4,3313,11,0.21794920000002094
A*,N,N,14,10,10,0.4,1190,11,0.5280547000002116
Dijkstra,N,N,17,10,10,0.4,183,11,0.061243999999987864
Dijkstra,Y,Y,15,10,10,0.4,391,12,0.1309507000000849
A*,N,N,17,10,10,0.4,183,11,0.08331309999994119
Dijkstra,N,N,11,10,10,0.4,3950,13,1.5668079000001853
Dijkstra,Y,Y,12,10,10,0.4,836,13,0.3279478999997991
Pruning,Y,N,17,10,10,0.4,1223,11,0.08209179999994376
A*,Y,Y,15,10,10,0.4,391,12,0.18760380000003352
Dijkstra,Y,N,17,10,10,0.4,231,11,0.07863450000013472
A*,Y,N,17,10,10,0.4,231,11,0.10453510000024835
Pruning,Y,N,14,10,10,0.4,6226,11,0.4423069000004034
Pruning,Y,Y,17,10,10,0.4,1481,11,0.08525289999988672
Pruning,N,N,18,10,10,0.4,3665,12,0.20461149999982808
Dijkstra,Y,Y,17,10,10,0.4,175,11,0.0554269999997814
A*,Y,Y,12,10,10,0.4,836,13,0.3974917999998979
A*,Y,Y,17,10,10,0.4,175,11,0.08636470000010377
Pruning,N,N,16,10,10,0.4,17304,11,1.42213989999982
Dijkstra,N,N,18,10,10,0.4,501,12,0.2304417000000285
Dijkstra,Y,N,14,10,10,0.4,900,11,0.39812650000021677
Pruning,N,N,19,10,10,0.4,2850,13,0.18226050000021132
A*,N,N,18,10,10,0.4,501,12,0.23292620000029274
Dijkstra,N,N,19,10,10,0.4,362,13,0.15510820000008607
Pruning,Y,N,18,10,10,0.4,4309,12,0.26042740000002595
A*,N,N,19,10,10,0.4,362,13,0.1381173999998282
A*,Y,N,14,10,10,0.4,900,11,0.46234640000011495
Dijkstra,Y,N,18,10,10,0.4,530,12,0.16043089999993754
Pruning,Y,N,19,10,10,0.4,2744,13,0.1730453000000125
Dijkstra,Y,N,19,10,10,0.4,370,13,0.12874560000000201
A*,Y,N,18,10,10,0.4,530,12,0.24729449999995268
Dijkstra,N,N,16,10,10,0.4,2521,11,1.050662199999806
A*,Y,N,19,10,10,0.4,370,13,0.18603500000017448
Pruning,Y,Y,18,10,10,0.4,3847,12,0.200515600000017
Pruning,N,N,20,10,10,0.4,11351,14,0.7978871999998773
Pruning,Y,Y,19,10,10,0.4,2627,13,0.16894360000014785
Pruning,N,N,13,10,10,0.4,51802,12,4.673013499999797
A*,N,N,11,10,10,0.4,3950,13,1.8325042999999823
Dijkstra,Y,Y,19,10,10,0.4,361,13,0.12237840000034339
Pruning,N,N,21,10,10,0.4,12492,12,0.9069346999999652
Dijkstra,Y,Y,18,10,10,0.4,525,12,0.19694890000027954
A*,Y,Y,19,10,10,0.4,361,13,0.17829989999972895
Pruning,Y,Y,14,10,10,0.4,12025,11,0.9456569999997555
A*,Y,Y,18,10,10,0.4,525,12,0.23313659999985248
Dijkstra,N,N,20,10,10,0.4,1241,14,0.5605046999999104
Dijkstra,Y,Y,14,10,10,0.4,1246,11,0.507047799999782
A*,N,N,16,10,10,0.4,2521,11,1.0776074999998855
Dijkstra,N,N,21,10,10,0.4,1945,12,0.8380768000001808
Pruning,N,N,22,10,10,0.4,4048,11,0.2626174000001811
A*,N,N,20,10,10,0.4,1241,14,0.5632469000001947
Dijkstra,N,N,22,10,10,0.4,319,11,0.13159889999997176
A*,N,N,22,10,10,0.4,319,11,0.11597160000019358
A*,Y,Y,14,10,10,0.4,1246,11,0.6085406000001967
Pruning,Y,N,22,10,10,0.4,2283,11,0.132492899999761
Dijkstra,Y,N,22,10,10,0.4,346,11,0.15784190000022136
Pruning,N,N,23,10,10,0.4,10498,14,0.8485866999999416
Pruning,Y,N,11,10,10,0.4,22447,13,1.6958122999999432
A*,Y,N,22,10,10,0.4,346,11,0.163880799999788
A*,N,N,21,10,10,0.4,1945,12,0.8320972999999867
Pruning,Y,N,20,10,10,0.4,9878,14,0.688175499999943
Pruning,Y,Y,22,10,10,0.4,2594,11,0.14336339999999836
Pruning,Y,N,16,10,10,0.4,15791,11,1.1670748999999887
Dijkstra,Y,Y,22,10,10,0.4,296,11,0.10661500000014712
A*,Y,Y,22,10,10,0.4,296,11,0.1358898999997109
Dijkstra,N,N,23,10,10,0.4,1321,14,0.5196254999996199
Dijkstra,Y,N,20,10,10,0.4,1220,14,0.5335548000002746
Pruning,Y,N,21,10,10,0.4,12109,12,0.8841969999998582
Pruning,N,N,24,10,10,0.4,11204,12,0.8586463999999978
A*,N,N,23,10,10,0.4,1321,14,0.5855396000001747
A*,Y,N,20,10,10,0.4,1220,14,0.5264336000000185
Dijkstra,N,N,13,10,10,0.4,7266,12,2.9200927000001684
Dijkstra,Y,N,16,10,10,0.4,2501,11,0.9200538999998571
Dijkstra,Y,N,11,10,10,0.4,3796,13,1.4544878000001518
Dijkstra,N,N,24,10,10,0.4,1289,12,0.546522399999958
Dijkstra,Y,N,21,10,10,0.4,1954,12,0.7938505000001896
Pruning,Y,Y,20,10,10,0.4,10331,14,0.7585954000001038
Pruning,Y,N,23,10,10,0.4,12169,14,0.8518995000003997
A*,N,N,24,10,10,0.4,1289,12,0.5624493000000257
Pruning,N,N,25,10,10,0.4,17527,13,1.3039005000000543
A*,Y,N,16,10,10,0.4,2501,11,1.1563734999999724
Dijkstra,Y,Y,20,10,10,0.4,1234,14,0.5123094000000492
Dijkstra,Y,N,23,10,10,0.4,1324,14,0.521948699999939
A*,Y,N,21,10,10,0.4,1954,12,0.8924952999996094
Pruning,Y,N,24,10,10,0.4,8488,12,0.5339562999997725
A*,Y,Y,20,10,10,0.4,1234,14,0.6245343000000503
A*,Y,N,23,10,10,0.4,1324,14,0.6757171999997809
Dijkstra,N,N,25,10,10,0.4,2070,13,0.9269532000002982
Dijkstra,Y,N,24,10,10,0.4,1291,12,0.4674849000002723
A*,Y,N,11,10,10,0.4,3796,13,1.8430033999998159
Pruning,Y,Y,16,10,10,0.4,14840,11,0.9945407000000159
Pruning,Y,Y,21,10,10,0.4,11950,12,0.8643188999999438
Pruning,N,N,26,10,10,0.4,1756,11,0.1196154999997816
Dijkstra,N,N,26,10,10,0.4,155,11,0.058211000000028434
A*,N,N,26,10,10,0.4,155,11,0.06646180000007007
A*,Y,N,24,10,10,0.4,1291,12,0.6168689999999515
Pruning,Y,N,26,10,10,0.4,2342,11,0.14516479999974763
Dijkstra,Y,N,26,10,10,0.4,151,11,0.05816159999994852
A*,Y,N,26,10,10,0.4,151,11,0.06975259999990158
Pruning,Y,Y,23,10,10,0.4,12148,14,0.9300226999998813
A*,N,N,25,10,10,0.4,2070,13,0.9623030000002473
Pruning,Y,Y,26,10,10,0.4,1832,11,0.1251388999999108
Dijkstra,Y,Y,16,10,10,0.4,2486,11,0.8749136999999791
Dijkstra,Y,Y,26,10,10,0.4,178,11,0.060601600000154576
Dijkstra,Y,Y,21,10,10,0.4,1956,12,0.7640298999999686
A*,Y,Y,26,10,10,0.4,178,11,0.0723121999999421
A*,N,N,13,10,10,0.4,7266,12,3.1386148000001413
Dijkstra,Y,Y,23,10,10,0.4,1376,14,0.5407844000001205
Pruning,Y,Y,24,10,10,0.4,12921,12,0.943395899999814
A*,Y,Y,21,10,10,0.4,1956,12,0.9549544000001333
A*,Y,Y,23,10,10,0.4,1376,14,0.6357582000000548
Dijkstra,Y,Y,24,10,10,0.4,1501,12,0.5725262000000839
A*,Y,Y,16,10,10,0.4,2486,11,1.2493295999997827
Pruning,Y,Y,11,10,10,0.4,26168,13,2.191844100000253
Pruning,N,N,28,10,10,0.4,1903,10,0.12256789999992179
Dijkstra,N,N,28,10,10,0.4,108,10,0.047853999999915686
A*,N,N,28,10,10,0.4,108,10,0.047826099999838334
Pruning,Y,N,28,10,10,0.4,1637,10,0.09610810000003767
Dijkstra,Y,N,28,10,10,0.4,126,10,0.0448527000003196
A*,Y,Y,24,10,10,0.4,1501,12,0.7908832000002803
A*,Y,N,28,10,10,0.4,126,10,0.061776199999712844
Pruning,Y,Y,28,10,10,0.4,1532,10,0.08249100000011822
Pruning,N,N,29,10,10,0.4,7223,13,0.48615449999988414
Dijkstra,Y,Y,28,10,10,0.4,103,10,0.04091889999972409
A*,Y,Y,28,10,10,0.4,103,10,0.04877059999989797
Pruning,Y,N,25,10,10,0.4,26694,13,2.3032317000001967
Pruning,N,N,30,10,10,0.4,6763,11,0.5421578999998928
Dijkstra,N,N,29,10,10,0.4,762,13,0.3169923000000381
Pruning,N,N,31,10,10,0.4,2677,13,0.14444490000005317
Dijkstra,N,N,30,10,10,0.4,638,11,0.2896187999999711
Dijkstra,N,N,31,10,10,0.4,348,13,0.14429810000001453
A*,N,N,29,10,10,0.4,762,13,0.34094599999980346
A*,N,N,31,10,10,0.4,348,13,0.14426800000001094
A*,N,N,30,10,10,0.4,638,11,0.2609807999997429
Pruning,N,N,32,10,10,0.4,3577,11,0.24358660000007148
Dijkstra,Y,Y,11,10,10,0.4,3944,13,1.6512308999999732
Dijkstra,N,N,32,10,10,0.4,215,11,0.08261559999982637
Pruning,Y,N,31,10,10,0.4,2476,13,0.14066660000025877
Pruning,Y,N,29,10,10,0.4,5139,13,0.2918686000002708
A*,N,N,32,10,10,0.4,215,11,0.07453789999999572
Dijkstra,Y,N,31,10,10,0.4,345,13,0.12171129999978803
Dijkstra,Y,N,25,10,10,0.4,2107,13,0.9178306999997403
A*,Y,N,31,10,10,0.4,345,13,0.14487110000027315
Pruning,Y,N,32,10,10,0.4,3960,11,0.24026899999989837
Dijkstra,Y,N,29,10,10,0.4,752,13,0.30603689999998096
Dijkstra,Y,N,32,10,10,0.4,273,11,0.08107780000000275
Pruning,Y,Y,31,10,10,0.4,2532,13,0.17355350000025282
Pruning,Y,N,30,10,10,0.4,8685,11,0.5977321999998821
A*,Y,N,32,10,10,0.4,273,11,0.13205070000003616
Dijkstra,Y,Y,31,10,10,0.4,338,13,0.1626035999997839
Dijkstra,Y,N,30,10,10,0.4,661,11,0.21799749999991036
Pruning,Y,Y,32,10,10,0.4,3558,11,0.18988379999973404
A*,Y,N,29,10,10,0.4,752,13,0.38098889999992025
A*,Y,Y,31,10,10,0.4,338,13,0.14713960000017323
Dijkstra,Y,Y,32,10,10,0.4,290,11,0.11285369999995964
Pruning,Y,N,13,10,10,0.4,42262,12,3.78076800000008
A*,Y,Y,32,10,10,0.4,290,11,0.14790110000012646
A*,Y,N,30,10,10,0.4,661,11,0.3674721000002137
Pruning,Y,Y,29,10,10,0.4,6507,13,0.5221778000000086
A*,Y,N,25,10,10,0.4,2107,13,1.110380200000236
Dijkstra,Y,Y,29,10,10,0.4,858,13,0.36807139999973515
Pruning,N,N,34,10,10,0.4,2430,11,0.1521309999998266
Dijkstra,N,N,34,10,10,0.4,269,11,0.10373450000042794
Pruning,Y,Y,30,10,10,0.4,9366,11,0.7663623999997071
A*,N,N,34,10,10,0.4,269,11,0.11592909999990297
A*,Y,Y,11,10,10,0.4,3944,13,2.023471200000131
Pruning,N,N,33,10,10,0.4,10324,12,0.739237299999786
A*,Y,Y,29,10,10,0.4,858,13,0.4333691000001636
Dijkstra,Y,Y,30,10,10,0.4,608,11,0.25965240000004997
Pruning,N,N,27,10,10,0.4,52205,13,4.726214900000286
Pruning,Y,N,34,10,10,0.4,5642,11,0.4416738999998415
Dijkstra,Y,N,34,10,10,0.4,195,11,0.07730259999971167
Pruning,Y,Y,25,10,10,0.4,15303,13,1.176341400000183
A*,Y,Y,30,10,10,0.4,608,11,0.3243612999999641
Dijkstra,N,N,33,10,10,0.4,1097,12,0.4785186999997677
A*,Y,N,34,10,10,0.4,195,11,0.10209289999966131
Pruning,N,N,35,10,10,0.4,2339,12,0.14737550000018018
Pruning,N,N,36,10,10,0.4,1949,11,0.13487620000023526
Dijkstra,N,N,35,10,10,0.4,246,12,0.10029320000012376
Dijkstra,N,N,36,10,10,0.4,226,11,0.08997120000003633
A*,N,N,35,10,10,0.4,246,12,0.1216204000002108
A*,N,N,36,10,10,0.4,226,11,0.10289479999983087
Pruning,Y,Y,34,10,10,0.4,5571,11,0.40427550000003976
A*,N,N,33,10,10,0.4,1097,12,0.44179380000014135
Dijkstra,Y,Y,34,10,10,0.4,254,11,0.07710159999987809
Pruning,Y,N,36,10,10,0.4,2186,11,0.13806079999994836
Pruning,N,N,37,10,10,0.4,2104,12,0.1201152000003276
Pruning,Y,N,35,10,10,0.4,3592,12,0.20236090000025797
A*,Y,Y,34,10,10,0.4,254,11,0.12576110000009066
Dijkstra,Y,N,36,10,10,0.4,268,11,0.10295940000014525
Dijkstra,N,N,37,10,10,0.4,246,12,0.11877279999998791
Dijkstra,Y,N,35,10,10,0.4,285,12,0.11569890000009764
A*,Y,N,36,10,10,0.4,268,11,0.11669879999999466
A*,N,N,37,10,10,0.4,246,12,0.08923920000006547
Dijkstra,Y,Y,25,10,10,0.4,2166,13,0.8507105999997293
A*,Y,N,35,10,10,0.4,285,12,0.14280409999992116
Pruning,Y,N,37,10,10,0.4,1285,12,0.08280370000011317
Dijkstra,Y,N,37,10,10,0.4,158,12,0.05488820000027772
A*,Y,N,37,10,10,0.4,158,12,0.05533119999972769
Pruning,Y,Y,35,10,10,0.4,2039,12,0.12997790000008536
Pruning,Y,Y,36,10,10,0.4,4053,11,0.2310362999996869
Pruning,Y,N,33,10,10,0.4,8011,12,0.5491747000000942
Pruning,Y,Y,37,10,10,0.4,1260,12,0.08104169999978694
Dijkstra,Y,Y,37,10,10,0.4,156,12,0.0467834999999468
Dijkstra,Y,Y,36,10,10,0.4,239,11,0.09805789999973058
Dijkstra,Y,Y,35,10,10,0.4,288,12,0.11554720000003726
A*,Y,Y,37,10,10,0.4,156,12,0.08005450000018755
A*,Y,Y,36,10,10,0.4,239,11,0.09301390000018728
A*,Y,Y,35,10,10,0.4,288,12,0.1546450000000732
Dijkstra,Y,N,33,10,10,0.4,1128,12,0.4824487000000772
Dijkstra,Y,N,13,10,10,0.4,7296,12,3.117393600000014
Pruning,N,N,39,10,10,0.4,1648,11,0.09453919999987193
Pruning,N,N,38,10,10,0.4,8719,11,0.7116056999998364
Dijkstra,N,N,39,10,10,0.4,217,11,0.07978370000000723
A*,Y,Y,25,10,10,0.4,2166,13,1.1794270000000324
A*,N,N,39,10,10,0.4,217,11,0.10136729999976524
A*,Y,N,33,10,10,0.4,1128,12,0.5781784999999218
Pruning,Y,N,39,10,10,0.4,3543,11,0.24137330000030488
Dijkstra,Y,N,39,10,10,0.4,215,11,0.08465979999982665
Dijkstra,N,N,38,10,10,0.4,1274,11,0.5636100000001534
A*,Y,N,39,10,10,0.4,215,11,0.10111129999995683
Pruning,N,N,40,10,10,0.4,10952,11,0.8261373000000276
Pruning,Y,Y,39,10,10,0.4,2627,11,0.14715979999982665
Dijkstra,Y,Y,39,10,10,0.4,211,11,0.08309959999996863
Pruning,N,N,42,10,10,0.4,3229,11,0.22132790000023306
A*,Y,Y,39,10,10,0.4,211,11,0.09090710000009494
Pruning,Y,Y,33,10,10,0.4,11072,12,0.7937434000000394
Dijkstra,N,N,42,10,10,0.4,494,11,0.18736249999983556
A*,N,N,38,10,10,0.4,1274,11,0.6267778000001272
A*,N,N,42,10,10,0.4,494,11,0.20939180000004853
Dijkstra,N,N,40,10,10,0.4,1493,11,0.6532301000002008
Dijkstra,Y,Y,33,10,10,0.4,1166,12,0.470961399999851
Pruning,Y,N,42,10,10,0.4,4992,11,0.3057616000000962
Pruning,N,N,43,10,10,0.4,2135,11,0.12857420000000275
Dijkstra,N,N,43,10,10,0.4,279,11,0.11887699999988399
Dijkstra,Y,N,42,10,10,0.4,516,11,0.16737779999994018
A*,N,N,43,10,10,0.4,279,11,0.08664970000018002
Pruning,N,N,41,10,10,0.4,23085,13,1.9097931999999673
A*,Y,N,42,10,10,0.4,516,11,0.24135860000023968
A*,N,N,40,10,10,0.4,1493,11,0.6243765000003805
A*,Y,Y,33,10,10,0.4,1166,12,0.5503832000003968
Pruning,Y,N,38,10,10,0.4,12603,11,0.9087379000002329
Pruning,Y,N,43,10,10,0.4,5478,11,0.35021150000011403
Dijkstra,Y,N,43,10,10,0.4,269,11,0.08979770000041754
Dijkstra,N,N,27,10,10,0.4,10089,13,4.319143000000167
A*,Y,N,43,10,10,0.4,269,11,0.144127799999751
Pruning,Y,Y,43,10,10,0.4,2897,11,0.16763859999991837
Dijkstra,Y,Y,43,10,10,0.4,260,11,0.08119840000017575
Pruning,Y,Y,42,10,10,0.4,9329,11,0.6681029000001217
Dijkstra,Y,N,38,10,10,0.4,1269,11,0.5115208999995957
A*,Y,Y,43,10,10,0.4,260,11,0.10168909999993048
Pruning,N,N,44,10,10,0.4,4633,11,0.2982571000002281
Dijkstra,Y,Y,42,10,10,0.4,700,11,0.2796465999999782
Dijkstra,N,N,44,10,10,0.4,436,11,0.19880319999992935
Dijkstra,N,N,41,10,10,0.4,3047,13,1.3285675000001902
A*,Y,N,38,10,10,0.4,1269,11,0.5845145000002958
A*,Y,Y,42,10,10,0.4,700,11,0.3340040000002773
A*,Y,N,13,10,10,0.4,7296,12,3.566983700000037
A*,N,N,44,10,10,0.4,436,11,0.2247106999998323
Pruning,Y,N,44,10,10,0.4,2963,11,0.19944380000015371
Pruning,Y,N,40,10,10,0.4,20812,11,1.620969999999943
Dijkstra,Y,N,44,10,10,0.4,357,11,0.15203410000003714
Pruning,N,N,45,10,10,0.4,6293,13,0.45911560000013196
A*,Y,N,44,10,10,0.4,357,11,0.15906909999966956
Pruning,Y,Y,44,10,10,0.4,3051,11,0.21926669999993464
Dijkstra,N,N,45,10,10,0.4,861,13,0.3365936000000147
Pruning,Y,Y,38,10,10,0.4,12706,11,0.9378686000000016
Dijkstra,Y,Y,44,10,10,0.4,381,11,0.13297209999973347
Pruning,N,N,46,10,10,0.4,5738,12,0.4132940999998027
Dijkstra,Y,N,40,10,10,0.4,1383,11,0.5689096000000973
A*,Y,Y,44,10,10,0.4,381,11,0.18637020000005577
A*,N,N,45,10,10,0.4,861,13,0.333649300000161
Dijkstra,N,N,46,10,10,0.4,753,12,0.3468876000001728
Dijkstra,Y,Y,38,10,10,0.4,1212,11,0.45189269999991666
A*,N,N,41,10,10,0.4,3047,13,1.420149500000207
Pruning,Y,N,45,10,10,0.4,5862,13,0.38329769999972996
A*,N,N,46,10,10,0.4,753,12,0.327571700000135
A*,Y,N,40,10,10,0.4,1383,11,0.6673939000002065
Dijkstra,Y,N,45,10,10,0.4,862,13,0.323138199999903
Pruning,N,N,47,10,10,0.4,2877,12,0.20948889999999665
Pruning,Y,N,46,10,10,0.4,5645,12,0.30424989999983154
A*,Y,Y,38,10,10,0.4,1212,11,0.5786736999998539
Dijkstra,N,N,47,10,10,0.4,404,12,0.1844003999999586
A*,N,N,47,10,10,0.4,404,12,0.1771598999998787
Dijkstra,Y,N,46,10,10,0.4,766,12,0.2990505999996458
Pruning,Y,N,41,10,10,0.4,11637,13,0.8515806999998858
A*,Y,N,45,10,10,0.4,862,13,0.4328821999997672
Pruning,Y,N,47,10,10,0.4,3185,12,0.17035919999989346
Dijkstra,Y,N,47,10,10,0.4,398,12,0.14187829999991663
Pruning,N,N,48,10,10,0.4,1597,11,0.09698349999962375
Pruning,Y,Y,40,10,10,0.4,12663,11,0.9413766999996369
A*,Y,N,46,10,10,0.4,766,12,0.3593591999997443
Dijkstra,N,N,48,10,10,0.4,192,11,0.09181930000022476
Pruning,Y,Y,45,10,10,0.4,5817,13,0.38581710000016756
A*,Y,N,47,10,10,0.4,398,12,0.18137910000041302
A*,N,N,48,10,10,0.4,192,11,0.07834579999962443
Dijkstra,Y,N,41,10,10,0.4,1553,13,0.4973534999999174
Pruning,Y,N,48,10,10,0.4,2119,11,0.10695449999957418
Pruning,Y,Y,47,10,10,0.4,2847,12,0.20022900000003574
Dijkstra,Y,N,48,10,10,0.4,201,11,0.08603619999985312
Dijkstra,Y,Y,45,10,10,0.4,871,13,0.32254299999976865
Pruning,Y,Y,46,10,10,0.4,5940,12,0.4047786000000997
A*,Y,N,48,10,10,0.4,201,11,0.07364989999996396
Dijkstra,Y,Y,47,10,10,0.4,396,12,0.13144710000005944
Dijkstra,Y,Y,40,10,10,0.4,1293,11,0.46133770000005825
Pruning,Y,Y,48,10,10,0.4,1707,11,0.1254812000001948
A*,Y,Y,47,10,10,0.4,396,12,0.14234329999999318
Pruning,Y,Y,13,10,10,0.4,38362,12,3.164488099999744
Dijkstra,Y,Y,48,10,10,0.4,194,11,0.09025699999983772
