Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Pruning,N,N,5,10,10,0.4,1496,12,0.06514130000005025
Pruning,N,N,1,10,10,0.4,1733,11,0.10845420000032391
Dijkstra,N,N,5,10,10,0.4,204,12,0.07000199999993129
Pruning,N,N,6,10,10,0.4,2280,10,0.15240360000007058
Pruning,N,N,4,10,10,0.4,2559,12,0.1661221000003934
Dijkstra,N,N,1,10,10,0.4,178,11,0.06830420000005688
Pruning,N,N,8,10,10,0.4,3407,12,0.19536079999988942
Dijkstra,N,N,6,10,10,0.4,168,10,0.06239700000014636
A*,N,N,5,10,10,0.4,204,12,0.09188999999969383
A*,N,N,1,10,10,0.4,178,11,0.07722179999973378
A*,N,N,6,10,10,0.4,168,10,0.059498099999927945
Pruning,Y,N,5,10,10,0.4,1407,12,0.06704469999976936
Dijkstra,N,N,4,10,10,0.4,357,12,0.13368450000007215
Dijkstra,N,N,8,10,10,0.4,321,12,0.12935440000001108
Pruning,Y,N,1,10,10,0.4,1726,11,0.10187850000011167
Pruning,N,N,3,10,10,0.4,6240,12,0.3772508000001835
Dijkstra,Y,N,5,10,10,0.4,192,12,0.08389220000026398
Pruning,Y,N,6,10,10,0.4,1721,10,0.11207150000018373
Dijkstra,Y,N,1,10,10,0.4,193,11,0.07812659999990501
A*,Y,N,5,10,10,0.4,192,12,0.06302989999994679
A*,N,N,4,10,10,0.4,357,12,0.1545697999999902
Dijkstra,Y,N,6,10,10,0.4,183,10,0.0677559000000656
Pruning,N,N,7,10,10,0.4,6981,12,0.4534793000002537
A*,N,N,8,10,10,0.4,321,12,0.13512729999956719
Pruning,N,N,2,10,10,0.4,7843,12,0.48983570000018517
A*,Y,N,1,10,10,0.4,193,11,0.09272270000019489
Pruning,Y,Y,5,10,10,0.4,1574,12,0.08112440000013521
A*,Y,N,6,10,10,0.4,183,10,0.08925989999988815
Pruning,Y,N,8,10,10,0.4,2358,12,0.12611509999987902
Pruning,Y,N,4,10,10,0.4,2717,12,0.1556525999999394
Dijkstra,Y,Y,5,10,10,0.4,192,12,0.08993349999991551
Pruning,Y,Y,1,10,10,0.4,1637,11,0.11901910000005955
Dijkstra,N,N,7,10,10,0.4,609,12,0.19255210000028455
Pruning,Y,Y,6,10,10,0.4,2048,10,0.12014490000001388
A*,Y,Y,5,10,10,0.4,192,12,0.08459009999978662
Dijkstra,N,N,3,10,10,0.4,925,12,0.3342109000000164
Dijkstra,Y,N,8,10,10,0.4,328,12,0.12133390000008148
Dijkstra,Y,N,4,10,10,0.4,351,12,0.1148057999998855
Dijkstra,Y,Y,1,10,10,0.4,219,11,0.08543959999997242
Dijkstra,Y,Y,6,10,10,0.4,190,10,0.08679010000014387
A*,Y,Y,6,10,10,0.4,190,10,0.07874600000013743
A*,Y,Y,1,10,10,0.4,219,11,0.10719530000005761
Dijkstra,N,N,2,10,10,0.4,793,12,0.3409252999999808
A*,Y,N,8,10,10,0.4,328,12,0.16443950000029872
A*,Y,N,4,10,10,0.4,351,12,0.18741580000005342
A*,N,N,7,10,10,0.4,609,12,0.27025529999991704
Pruning,Y,Y,8,10,10,0.4,2871,12,0.18429860000014742
Pruning,Y,Y,4,10,10,0.4,2848,12,0.18619219999982306
Dijkstra,Y,Y,8,10,10,0.4,333,12,0.10437939999974333
A*,N,N,3,10,10,0.4,925,12,0.47080670000013924
Dijkstra,Y,Y,4,10,10,0.4,361,12,0.14648989999977857
A*,N,N,2,10,10,0.4,793,12,0.4094829999999092
A*,Y,Y,8,10,10,0.4,333,12,0.17452080000020942
Pruning,Y,N,7,10,10,0.4,6780,12,0.4802402999998776
A*,Y,Y,4,10,10,0.4,361,12,0.17137970000021596
Pruning,N,N,10,10,10,0.4,1769,11,0.1192166000000725
Pruning,N,N,9,10,10,0.4,4975,11,0.34214220000012574
Dijkstra,N,N,10,10,10,0.4,244,11,0.10734180000008564
Dijkstra,Y,N,7,10,10,0.4,583,12,0.2401307000000088
A*,N,N,10,10,10,0.4,244,11,0.12191970000003494
Pruning,Y,N,3,10,10,0.4,7406,12,0.5544435000001613
Pruning,Y,N,2,10,10,0.4,6887,12,0.49337019999984477
Dijkstra,N,N,9,10,10,0.4,705,11,0.2580533000000287
